pub_number,cit_number
US-2019133762-A1,US-5312355-A
US-2019095100-A1,US-2012246391-A1
US-2019090262-A1,US-2013215874-A1
US-2019165565-A1,US-2017365994-A1
US-2019087015-A1,US-9978202-B2
US-2019083621-A1,US-9770517-B2
US-2019096231-A1,US-2013278416-A1
US-2019153804-A1,US-2013206419-A1
US-2019083085-A1,US-2009054926-A1
US-2019091431-A1,US-2007125385-A1
US-2019150890-A1,US-7604623-B2
US-2019098437-A1,US-7310676-B2
US-2019186688-A1,US-2008006747-A1
US-2019182952-A1,US-2002001190-A1
US-2019182952-A1,US-6331930-B1
US-2019186219-A1,US-6000686-A
US-2019082800-A1,US-10082872-B2
US-2019082800-A1,US-10143271-B2
US-2019089192-A1,US-9712081-B2
US-2019088071-A1,US-2016078709-A1
US-2019089826-A1,US-2013311429-A1
US-2019132913-A1,US-2012081009-A1
US-2019089894-A1,US-2012314914-A1
US-2019089510-A1,US-2011141928-A1
US-2019154873-A1,US-2011119042-A1
US-2019199221-A1,US-2009316443-A1
US-2019108295-A1,US-8145894-B1
US-2019156711-A1,US-7198835-B2
US-2019164458-A1,US-2005142371-A1
US-2019086954-A1,US-2005005242-A1
US-2019156711-A1,US-2002145805-A1
US-2019173270-A1,US-2018017471-A1
US-2019154837-A1,US-2019004180-A1
US-2019087909-A1,US-2015248730-A1
US-2019087909-A1,US-2014200928-A1
US-2019109599-A1,US-9571113-B2
US-2019089871-A1,US-2008210025-A1
US-2019088609-A1,US-2008013198-A1
US-2019090139-A1,US-2008010707-A1
US-2019154242-A1,US-2005023775-A1
US-2019150425-A1,US-6807767-B1
US-2019086886-A1,US-2002174270-A1
US-2019090822-A1,US-2003013058-A1
US-2019087909-A1,US-2002035488-A1
US-2019087909-A1,US-2002080950-A1
US-2019082759-A1,US-5444874-A
US-2019090095-A1,US-2017035969-A1
US-10355254-B1,US-2018041053-A1
US-2019103132-A1,US-2016104514-A1
US-2019086774-A1,US-2015019543-A1
US-2019088273-A1,US-2013107679-A1
US-2019090136-A1,US-2013032408-A1
US-2019158243-A1,US-2014112290-A1
US-2019087800-A1,US-2013304553-A1
US-2019088617-A1,US-2012261819-A1
US-2019100456-A1,US-7153578-B2
US-2019084181-A1,US-3964863-A
US-10313865-B1,US-2017238129-A1
US-10372014-B1,US-2017212405-A1
US-2019089439-A1,US-2016050601-A1
US-10385561-B1,US-2015197926-A1
US-2019084313-A1,US-2013208059-A1
US-2019142467-A1,US-8566913-B2
US-2019088436-A1,US-2012133478-A1
US-2019084913-A1,US-2011105609-A1
US-2019089853-A1,US-2010053701-A1
US-2019103557-A1,US-2010108976-A1
US-2019095124-A1,US-2009113056-A1
US-2019088296-A1,US-2009015291-A1
US-2019087941-A1,US-2005175247-A1
US-10280095-B1,US-6699369-B1
US-2019087240-A1,US-2003005229-A1
US-2019090303-A1,US-7116967-B2
US-2019088035-A1,US-4716799-A
US-2019088436-A1,US-4608548-A
